Date,Open,High,Low,Close*,Adj Close**,Volume,Daily_Return,Log_Return,MA_20,Volatility_20,Intraday_Range,DayOfWeek,Month,Quarter,RSI,MACD,MACD_Signal,MACD_Diff,Bollinger_High,Bollinger_Low,Bollinger_Percent,Bollinger_Width,OBV,ADX,Anomaly
2023-04-04,33594.79,33634.72,33275.62,33402.38,33402.38,283360000,-0.0023994466399385184,-0.002402329925143547,,,359.09999999999854,1,4,2,33.29289047134756,,,,,,,,-699580000,0.0,
2023-04-03,33245.78,33632.9,33245.78,33601.15,33601.15,311890000,0.005950773567632073,0.0059331376449414264,,,387.1200000000026,0,4,2,42.735396787118844,,,,,,,,-387690000,0.0,
2023-03-31,32901.96,33291.0,32901.96,33274.15,33274.15,353740000,-0.009731809774367828,-0.009779473322258847,33708.424,,389.0400000000009,4,3,1,34.16693631279017,,,,34186.03271229072,33230.81528770928,0.04536633354412505,2.833764712884348,-741430000,0.0,
2023-03-30,32807.43,32905.8,32682.87,32859.03,32859.03,283380000,-0.012475750695359666,-0.012554226250496453,33646.4675,0.006783867018617396,222.93000000000393,3,3,1,26.816305774657963,,,,34218.01876978689,33074.91623021311,-0.1888598990372332,3.397392429305637,-1024810000,0.0,1.0
2023-03-29,32566.54,32728.04,32539.94,32717.6,32717.6,314110000,-0.004304144096767271,-0.004313433590098178,33591.0395,0.006657157811912235,188.10000000000218,2,3,1,24.854415653181206,,,,34284.20823043943,32897.87076956057,-0.13003382989181442,4.127104970594489,-1338920000,0.0,1.0
2023-03-28,32434.85,32551.01,32295.5,32394.25,32394.25,248560000,-0.009883059882142886,-0.009932221498107758,33545.6585,0.006140294273404203,255.5099999999984,1,3,1,21.060701746850427,,,,34407.042485067635,32684.274514932356,-0.16834798415109983,5.135591451082348,-1587480000,0.0,1.0
2023-03-27,32276.72,32564.0,32276.72,32432.08,32432.08,291560000,0.001167799841021333,0.0011671184931873269,33490.721000000005,0.005863674509071026,287.27999999999884,0,3,1,22.550164605210625,,,,34479.59778320204,32501.844216797967,-0.035274474020951484,5.905377690746272,-1295920000,0.0,1.0
2023-03-24,32038.22,32257.24,31805.18,32237.53,32237.53,317070000,-0.0059986901857668196,-0.00601675460587469,33408.8275,0.00521518764470736,452.0600000000013,4,3,1,20.41662839481252,,,,34520.381844544165,32297.273155455834,-0.026873699765140653,6.65425534340686,-1612990000,0.0,1.0
2023-03-23,32101.49,32511.49,31864.74,32105.25,32105.25,335430000,-0.004103292032609174,-0.004111733635516422,33323.642,0.005226349440383235,646.75,3,3,1,19.09383760969473,-425.9855461502666,,,34554.238781819295,32093.0452181807,0.004958887427470469,7.385728017479582,-1948420000,0.0,1.0
2023-03-22,32570.19,32761.89,32020.46,32030.11,32030.11,325990000,-0.0023404271886996453,-0.0023431702692350846,33235.8165,0.00520753430629935,741.4300000000003,2,3,1,18.365921149764105,-458.3638872276424,,,34568.21675777955,31903.41624222045,0.047543430376802226,8.017857829847804,-2274410000,0.0,1.0
2023-03-21,32420.71,32593.68,32346.12,32560.6,32560.6,363190000,0.01656222847814126,0.01642657058745054,33168.996,0.0066514172575594666,247.5600000000013,1,3,1,36.710595901274125,-436.1897226902329,,,34496.090053010565,31841.901946989434,0.27077886883004626,8.002015213306821,-1911220000,47.648599522255736,1.0
