Date,Open,High,Low,Close,Adj Close**,Volume,Daily_Return,Log_Return,MA_20,Volatility_20,Headline,Sentiment,Sentiment_Score,Anomaly
2023-03-30,32807.43,32905.8,32682.87,32859.03,32859.03,283380000,-0.012475750695359666,-0.012554226250496453,33646.4675,0.006783867018617396,News,Neutral,0,0
2023-03-29,32566.54,32728.04,32539.94,32717.6,32717.6,314110000,-0.004304144096767271,-0.004313433590098178,33591.0395,0.006657157811912235,News,Neutral,0,0
2023-03-28,32434.85,32551.01,32295.5,32394.25,32394.25,248560000,-0.009883059882142886,-0.009932221498107758,33545.6585,0.006140294273404203,News,Neutral,0,0
2023-03-27,32276.72,32564.0,32276.72,32432.08,32432.08,291560000,0.001167799841021333,0.0011671184931873269,33490.721000000005,0.005863674509071026,News,Neutral,0,0
2023-03-24,32038.22,32257.24,31805.18,32237.53,32237.53,317070000,-0.0059986901857668196,-0.00601675460587469,33408.8275,0.00521518764470736,News,Neutral,0,0
2023-03-23,32101.49,32511.49,31864.74,32105.25,32105.25,335430000,-0.004103292032609174,-0.004111733635516422,33323.642,0.005226349440383235,News,Neutral,0,0
2023-03-22,32570.19,32761.89,32020.46,32030.11,32030.11,325990000,-0.0023404271886996453,-0.0023431702692350846,33235.8165,0.00520753430629935,News,Neutral,0,0
2023-03-21,32420.71,32593.68,32346.12,32560.6,32560.6,363190000,0.01656222847814126,0.01642657058745054,33168.996,0.0066514172575594666,News,Neutral,0,0
2023-03-20,31872.33,32280.07,31872.33,32244.58,32244.58,357210000,-0.009705595105741205,-0.009753001380707747,33082.3935,0.006782595602160117,News,Neutral,0,0
2023-03-17,32217.32,32217.32,31728.7,31861.98,31861.98,712100000,-0.011865560041408596,-0.01193651765875498,32976.133499999996,0.007049660603964914,News,Neutral,0,0
2023-03-16,31827.65,32281.61,31571.46,32246.55,32246.55,440940000,0.012069871363926454,0.011997611331655651,32894.1375,0.007834005396474547,News,Neutral,0,0
2023-03-15,31759.87,31906.47,31429.82,31874.57,31874.57,420910000,-0.011535497595866806,-0.011602547583657124,32786.3815,0.00791956752883207,News,Neutral,0,0
2023-03-14,32055.29,32306.59,31805.4,32155.4,32155.4,391760000,0.008810471796168562,0.00877188606292046,32711.826500000003,0.00811840391079666,News,Neutral,0,0
2023-03-13,31819.93,32240.35,31624.87,31819.14,31819.14,429090000,-0.010457341535169862,-0.01051240373706164,32618.544,0.008277501760699461,News,Neutral,0,0
2023-03-10,32185.14,32422.1,31783.41,31909.64,31909.64,397790000,0.0028442000632322717,0.002840162979270486,32534.7,0.00837335928148975,News,Neutral,0,0
2023-03-09,32876.83,32990.46,32190.6,32254.86,32254.86,315860000,0.010818674231360736,0.010760571065798434,32473.178499999998,0.008886352041802182,News,Neutral,0,0
2023-03-08,32872.08,32903.44,32612.7,32798.4,32798.4,242750000,0.016851414019468658,0.016711004150040242,32438.9625,0.009819586526289326,News,Neutral,0,0
2023-03-07,33428.31,33453.25,32838.21,32856.46,32856.46,299400000,0.001770208302843912,0.0017686433307384025,32411.6665,0.009832258999298335,News,Neutral,0,0
2023-03-06,33425.32,33572.22,33383.47,33431.44,33431.44,329190000,0.0174997549949083,0.017348397543339097,32403.181,0.010560399819021167,News,Neutral,0,0
